Species,Length,Height,Width,Weight
Bream,25.88,9.91,6.33,1906.49
Pike,49.1,13.48,7.08,4540.81
Roach,21.48,10.81,3.84,975.06
Pike,46.32,13.36,8.57,5430.8
Roach,20.69,9.15,2.44,506.91
Roach,18.12,5.99,2.84,294.17
Pike,82.54,13.23,6.55,5877.86
Smelt,12.78,2.94,0.96,35.95
Roach,26.07,9.69,4.07,910.08
Roach,25.44,8.61,3.05,757.04
Pike,50.83,10.68,6.42,3343.92
Roach,15.26,8.12,3.53,503.75
Roach,20.71,8.43,2.91,526.43
Pike,63.27,12.14,3.49,2900.08
Pike,46.48,12.62,5.24,2995.69
Bream,27.13,9.02,6.59,1784.21
Smelt,12.94,3.28,1.15,52.16
Smelt,10.92,2.29,0.83,21.01
Roach,19.86,10.04,2.86,678.55
Smelt,8.21,3.3,0.97,28.21
Roach,20.86,6.95,2.52,436.92
Bream,25.51,15.05,5.37,2439.19
Pike,52.09,14.57,6.1,3901.21
Pike,40.13,13.53,5.19,2510.36
Pike,65.89,12.61,4.99,3749.06
Smelt,11.01,2.98,0.87,29.7
Bream,22.0,10.71,4.6,899.08
Smelt,11.75,3.32,1.16,37.64
Smelt,12.3,3.07,1.21,39.5
Bream,37.0,11.11,5.34,2086.1
Bream,29.93,10.77,6.44,2347.59
Bream,26.53,12.22,5.34,1905.05
Bream,39.56,12.33,5.81,3089.53
Pike,43.56,19.07,5.89,4405.97
Perch,22.4,8.43,3.46,753.02
Perch,11.09,9.52,3.59,426.24
Bream,34.46,12.83,6.34,2781.37
Perch,30.59,9.3,4.92,1624.82
Perch,27.1,10.37,4.04,1183.87
Bream,34.12,16.1,5.25,2940.01
Perch,23.18,11.56,3.92,964.92
Smelt,15.81,3.11,0.96,53.79
Roach,24.26,8.19,2.76,514.9
Roach,21.13,5.94,3.24,400.6
Bream,19.69,8.47,6.5,1169.81
Pike,55.6,12.26,8.5,5828.37
Bream,28.82,12.15,5.35,1667.85
Pike,44.97,18.14,6.65,5525.8
Roach,19.77,4.78,3.26,356.35
Bream,28.13,10.36,4.37,1265.48
Smelt,11.45,3.06,1.39,42.19
Perch,25.71,10.06,4.64,1073.92
Pike,50.69,15.58,9.4,8072.82
Perch,26.6,8.59,4.38,812.2
Perch,27.6,9.36,4.72,1169.14
Bream,31.47,11.02,5.26,2073.09
Perch,19.84,10.14,3.3,592.65
Smelt,11.3,1.94,1.27,27.65
Perch,19.77,12.81,4.44,1151.83
Bream,37.4,15.97,3.48,2408.83
Smelt,9.73,2.29,1.12,24.94
Roach,21.49,7.71,2.9,547.23
Perch,15.89,10.31,4.73,903.74
Bream,38.98,11.85,5.57,2607.14
Roach,22.5,9.86,2.96,578.7
Roach,21.92,6.78,3.92,645.4
Pike,52.66,15.04,5.69,5281.53
Smelt,13.76,2.16,0.85,25.74
Perch,16.44,7.48,4.18,552.59
Bream,41.95,10.79,4.79,2470.9
Pike,51.6,13.32,9.26,7464.46
Smelt,13.34,2.91,1.12,47.57
Pike,54.97,16.55,7.71,6136.65
Smelt,13.31,2.35,0.95,30.66
Smelt,13.22,2.75,1.38,54.49
Perch,26.0,11.45,2.14,656.53
Smelt,15.02,2.39,0.68,24.68
Pike,27.11,19.3,8.82,4972.82
Smelt,10.24,3.85,0.99,40.34
Perch,28.88,11.3,3.72,1317.06
Perch,23.3,12.96,3.97,1007.75
Pike,27.55,17.03,10.39,4876.84
Roach,17.2,6.47,4.49,481.39
Roach,23.99,11.0,3.36,1002.25
Smelt,15.14,2.94,1.07,42.29
Bream,21.6,10.79,5.76,1149.17
Smelt,12.43,2.87,0.91,35.41
Pike,41.24,15.61,6.1,3248.85
Pike,63.02,14.01,6.29,4814.63
Pike,54.19,13.83,5.15,3437.61
Pike,39.01,10.25,9.12,4003.9
Pike,56.16,13.11,5.63,4001.12
Perch,25.98,7.2,1.77,387.05
Roach,18.67,8.12,2.9,454.22
Pike,53.13,18.12,5.95,5219.86
